20 38
1 0
V1 V2 42
V2 V1 42
V1 V3 23
V3 V1 23
V1 V4 46
V4 V1 46
V1 V5 34
V5 V1 34
V1 V6 40
V6 V1 40
V1 V7 27
V7 V1 27
V1 V8 29
V8 V1 29
V1 V9 16
V9 V1 16
V1 V10 32
V10 V1 32
V1 V11 86
V11 V1 86
V11 V12 24
V12 V11 24
V11 V13 33
V13 V11 33
V11 V14 76
V14 V11 76
V11 V15 34
V15 V11 34
V11 V16 45
V16 V11 45
V11 V17 36
V17 V11 36
V11 V18 35
V18 V11 35
V11 V19 56
V19 V11 56
V11 V20 35
V20 V11 35
---
V1 200 300
V2 90 159
V3 146 445
V4 17 303
V5 319 207
V6 39 223
V7 250 145
V8 46 414
V9 274 442
V10 167 133
V11 600 300
V12 488 197
V13 554 144
V14 640 140
V15 745 181
V16 778 278
V17 761 389
V18 674 458
V19 576 458
V20 475 416
